Id,roberta_neg,roberta_neu,roberta_pos,roberta_polarity,Source,Date,Title,Content,Name,Rating,Version,emotion
1,0.149119556,0.423998117,0.426882327,1,MyPlate Calorie Tracker,2023-03-02,,So far it's ok. However I am constantly getting a notification about a billing error. I am using the free version so there should be no billing errors. I've seen other users with the same issue so hoping it's an easy fix,Tara Biggerstaff,4,3.5.4(4),optimism
2,0.002100191,0.010013217,0.987886548,1,MyPlate Calorie Tracker,2023-03-01,,So far it's amazing. New to the app but amazed,Nicolene Roesstorff,5,3.5.4(4),excitement
3,0.392997384,0.520920992,0.086081654,0,MyPlate Calorie Tracker,2023-03-01,,App more interested in collecting my personal data than providing tools to answer my questions.,Stiobhard Gruamach,1,,disappointment
4,0.007448296,0.06486278,0.927688956,1,MyPlate Calorie Tracker,2023-03-01,,Good app,Mimi K,5,3.5.4(4),admiration
5,0.018780356,0.107926436,0.873293161,1,MyPlate Calorie Tracker,2023-03-01,,Great for keeping track. With as many ads as there are gold should be free... other than that easy to use and a good tool!,Sarah LaCroix,4,3.5.4(4),admiration
6,0.00392285,0.065187626,0.930889547,1,MyPlate Calorie Tracker,2023-02-28,,Very good app to count and track meals calories,Davide Di Antonio,5,3.5.4(4),admiration
7,0.006931801,0.273357391,0.719710827,1,MyPlate Calorie Tracker,2023-02-28,,So far it is doing what it is supposed to do.,casey seitz,5,3.5.4(4),approval
8,0.949757338,0.045431931,0.004810767,0,MyPlate Calorie Tracker,2023-02-28,,"The user interface has several major bugs that make it frustrating to use compared to other meal trackers. For instance, when you enter a number of servings eaten, the keyboard does not close out automatically, so you have to manually close it in order to proceed. Very close to a polished product but it's just too time consuming to do any basic logging steps.",Tyr Wiesner-Hanks,2,3.5.4(4),annoyance
9,0.247468144,0.425396055,0.327135801,1,MyPlate Calorie Tracker,2023-02-27,,It worked fine at first then it started crashing my phone whenever I try to scan my food. Update: I uninstalled it overnight redownloaded and now it's working fine.,Anna Bouillon,5,3.5.4(4),realization
10,0.00232028,0.032281529,0.965398133,1,MyPlate Calorie Tracker,2023-02-27,,Good app. I started using this in place of my fitness pal. This app is more user friendly.,Felita Lawlah,4,3.5.4(4),admiration
11,0.003891647,0.034110736,0.961997628,1,MyPlate Calorie Tracker,2023-02-27,,"Nice app ,I like it, it organized my eating habits",Shadi Khatib,5,3.5.4(4),admiration
12,0.813826382,0.179347739,0.006825935,0,MyPlate Calorie Tracker,2023-02-22,,I cant use this unless im 18 and older it says,Emmanuel Peguero,1,3.5.4(4),neutral
13,0.002238168,0.019276667,0.978485167,1,MyPlate Calorie Tracker,2023-02-21,,"Fantastic. User friendly, too. I like it and use it.",Orin Lenz,5,3.5.4(4),admiration
14,0.003971577,0.12178956,0.874238908,1,MyPlate Calorie Tracker,2023-02-21,,Love it helps me be accountable and accurate on what I'm eating,Heather Eckstorm,5,3.5.4(4),love
15,0.001947384,0.009753018,0.988299608,1,MyPlate Calorie Tracker,2023-02-20,,"Easy, and very helpful. I love it.",Martha Lucia,5,3.5.4(4),love
16,0.002599609,0.043793682,0.953606665,1,MyPlate Calorie Tracker,2023-02-19,,Super easy and super convenient,David Nizhnik,5,3.5.4(4),neutral
17,0.964742422,0.030880399,0.004377123,0,MyPlate Calorie Tracker,2023-02-19,,"But now that I need to upgrade, this app is a big fail. I have written repeatedly. Mobile app gives payment options but says error for credit, debit, PayPal. Does not work at all. Not on tablet either, where there are tons if files but no visible upgrade option. Ive gad it. Useless for the finer points. Sucks",L A Nelson,1,3.5.4(4),annoyance
18,0.001588982,0.012661321,0.985749722,1,MyPlate Calorie Tracker,2023-02-18,,This has helped me so much. I love the barcode scanner and the wide range of food it has in its system. It is very customizable and has actually helped me lose weight.,erin craig,5,3.5.4(4),love
19,0.005454061,0.0409819,0.953564048,1,MyPlate Calorie Tracker,2023-02-18,,Have a big selection of food. Didn't think a lot of my ethnic food would be on the list. But I was pleasantly pleased.,Luis,5,3.5.4(4),approval
20,0.00180072,0.008271866,0.989927351,1,MyPlate Calorie Tracker,2023-02-16,,"Best free food tracking app! It's pretty, you can add complete recipes and log in the portion you eat of it, and the barcode scanner is very good. Cant wait for the database to grow a bit more.",Kayla Rodriguez,5,3.5.4(4),admiration
21,0.007880331,0.073491499,0.918628156,1,MyPlate Calorie Tracker,2023-02-15,,"For the most part, I love it. However, it keeps connecting me to Google Fit. I just unselected Google Fit in the settings, closed out, opened it back up and it was selected again. I'd like to simply track calories without Google Fit interfering with my math.",Stephanie Natter,3,,love
22,0.010695332,0.453555942,0.53574872,1,MyPlate Calorie Tracker,2023-02-15,,Really helpse keep track of my calories,Wanda Farris,5,3.5.4(4),neutral
23,0.168245882,0.480158776,0.351595342,1,MyPlate Calorie Tracker,2023-02-15,,Excellent,slowdinosaur 366,5,3.5.4(4),admiration
24,0.979910731,0.017545464,0.002543849,0,MyPlate Calorie Tracker,2023-02-15,,Bro the password thing is weird and the weird age limit and bro I hate this app,Rehana Gulzar,1,3.5.4(4),disgust
25,0.006286201,0.120642439,0.873071432,1,MyPlate Calorie Tracker,2023-02-14,,Thank you I hope I can lose weight,jonathan kennedy,5,3.5.4(4),gratitude
26,0.002656706,0.025218356,0.972124934,1,MyPlate Calorie Tracker,2023-02-13,,So far so good,Celeste,5,3.5.4(4),joy
27,0.003601537,0.200039461,0.796358943,1,MyPlate Calorie Tracker,2023-02-13,,All food items can be found. Grrat free app with no limitations,A L,5,3.5.4(4),neutral
28,0.004354818,0.064821966,0.930823267,1,MyPlate Calorie Tracker,2023-02-12,,Thanks. Very Useful,jeffery hawkins,4,3.5.4(4),gratitude
29,0.008281713,0.06841518,0.923303127,1,MyPlate Calorie Tracker,2023-02-12,,Works very well. Easy to find foods and apply them. The format makes your needed food-choice corrections obvious. Ads not a problem.,Kevin Crean,5,3.5.4(4),approval
30,0.003350126,0.031766232,0.964883685,1,MyPlate Calorie Tracker,2023-02-09,,"Just started using it, because my fitness pal app makes me pay for the scanner. And I love myplate. Free scanner!",Cheryl Newton,5,3.5.4(4),approval
31,0.001757544,0.007937782,0.990304649,1,MyPlate Calorie Tracker,2023-02-09,,Very user friendly. Love it!,Claire Kille,5,3.5.4(4),love
32,0.011761987,0.086336479,0.901901543,1,MyPlate Calorie Tracker,2023-02-08,,I love that it breaks down your days' total food like a nutrition label so you can see how on target your diet is to the daily recommended diet. It's free and better than Noom. Better graphs and history to track your progress too. I would love the addition of tracking added sugar / fractose.,G Naff,5,3.5.4(4),love
33,0.023017969,0.239540815,0.737441242,1,MyPlate Calorie Tracker,2023-02-07,,This is very simply the easiest way to track calories. There are so many entries that it is rare you'll need to input your foods info to track it.,Amanda,5,3.5.4(4),neutral
34,0.268934339,0.655111074,0.075954579,0,MyPlate Calorie Tracker,2023-02-06,,Deleted everything I logged within the first day,Robert Snyder,1,3.5.4(4),neutral
35,0.434279144,0.399606407,0.166114405,0,MyPlate Calorie Tracker,2023-02-06,,"Suddenly having problems Worked great for ages. Tonight it souvle-entered a My Meal item and I can't delete it out. I am given the option, tap it, and nothing happens. I have force stopped, uninstalled, and reinstalled to no effect.",Anne Christensen,1,3.5.4(4),admiration
36,0.251591146,0.397064447,0.351344407,1,MyPlate Calorie Tracker,2023-02-06,,"Fun and interesting. TIP: When there's fresh whole fruit or vegetables, don't put sugar in the tracker, because it doesn't count. WORRY: About changing time zones ruining the tracker 😭",Altezzoso Burton,4,3.5.4(4),approval
37,0.210914284,0.507683575,0.281402111,1,MyPlate Calorie Tracker,2023-02-06,,Yup,Melinda Leppek,4,3.5.4(4),approval
38,0.005273817,0.042851761,0.951874495,1,MyPlate Calorie Tracker,2023-02-05,,Very good,Fraser Crighton,5,3.5.4(4),admiration
39,0.002824964,0.046097875,0.951077163,1,MyPlate Calorie Tracker,2023-02-03,,"I have been using it for a day I'm trying to gain some more weight and it keeps count of my calories, protien, carbs, fats, sugars, ect. This app is very easy to use and incredibly useful and helpful along whatever diet you might be following",I sure am,5,3.5.4(4),approval
40,0.018871795,0.568228722,0.412899524,1,MyPlate Calorie Tracker,2023-02-02,,Useful app that has the calories recorded for all indian food items. I use this to measure the intake of calories,Prem Sekhar,5,3.5.4(4),neutral
41,0.541338265,0.333402365,0.12525937,0,MyPlate Calorie Tracker,2023-02-02,,"A few years ago I used the Live Strong My Plate website to track calories & progress to loose a substantial amount of weight. Recently I downloaded the My Plate (phone) app to loose those last few pounds. I loved the web version but , honestly, am a bit disappointed in the app. Web version had a huge food database plus the option to add new foods as needed. The app has such limited food options that I am constantly forced to choose foods I didn't eat but which have similar calorie count.",Sheryl Wayne,4,3.5.4(4),disappointment
42,0.002454106,0.008238351,0.989307582,1,MyPlate Calorie Tracker,2023-02-02,,Love this app. It's easy/ convenient,Cece Marie,5,3.5.4(4),approval
43,0.681641459,0.289078742,0.029279877,0,MyPlate Calorie Tracker,2023-02-02,,Cant log in with Google account because its &quot;already linked&quot;. Cant reset password. On to a different app then.,Leah Parriott,1,3.5.4(4),neutral
44,0.62270546,0.291200966,0.086093575,0,MyPlate Calorie Tracker,2023-02-02,,"My biggest complaint is that not all of the calories in a meal/snack are tallied in the calories consumed summary. The Macronutrients are,however, properly tallied. I refer this app over MyFitnessPal for several reasons, price being one of them if I should go gold. With that said, the app crashes fairly regularly. I have not noticed a loss of input data, but it is annoying nonetheless. The communication between this app, Google Fit, and my Fitpro is nice to have.",Kevin Beggs,3,3.5.4(4),annoyance
45,0.001527711,0.070022009,0.928450286,1,MyPlate Calorie Tracker,2023-02-02,,So far okay print could be brighter to see,Marcia Meeker,4,3.5.4(4),admiration
46,0.001842081,0.022118526,0.97603941,1,MyPlate Calorie Tracker,2023-02-01,,So far I like this app.,Shelby Bunnell,5,3.5.4(4),love
47,0.002629063,0.0183395,0.979031503,1,MyPlate Calorie Tracker,2023-02-01,,"Easy to use, and I love the barcode scan option.",Richelle Purvis,5,3.5.4(4),love
48,0.006145812,0.374753624,0.619100511,1,MyPlate Calorie Tracker,2023-02-01,,So far it shows me things I ate I like it so I can track how I'm eating,Isabel Martinez,5,3.5.4(4),love
49,0.026198654,0.359055609,0.614745736,1,MyPlate Calorie Tracker,2023-01-31,,I like it for keeping track of what I ate and how much I drank,Sarah Elizabeth,5,3.5.4(4),approval
50,0.720881522,0.26016295,0.018955525,0,MyPlate Calorie Tracker,2023-01-30,,Grams isn't always available? It's well known that you should use a food scale and measure food by grams for accurate measurements but yet the food options do not consistently have grams as a unit of measurement. Not the app for me.,Salty Lacie,3,,neutral
51,0.002612534,0.098158106,0.899229407,1,MyPlate Calorie Tracker,2023-01-30,,Excellent health and fitness tracker!,ann coltrain,5,,admiration
52,0.003079626,0.010801062,0.98611927,1,MyPlate Calorie Tracker,2023-01-30,,Love this app,Michele Green,5,3.5.4(4),love
53,0.020685662,0.75949496,0.219819352,1,MyPlate Calorie Tracker,2023-01-29,,My key to weight-loss,Randy Mönch,5,3.5.4(4),neutral
54,0.54302907,0.425663173,0.031307809,0,MyPlate Calorie Tracker,2023-01-29,,Room for improvement because the reader scan doesn't always work.,Anne Eveland,4,3.5.4(4),realization
55,0.005580928,0.062396415,0.932022631,1,MyPlate Calorie Tracker,2023-01-27,,Simply the best free food tracker,Michele Green,5,3.5.4(4),admiration
56,0.011521203,0.118954547,0.86952424,1,MyPlate Calorie Tracker,2023-01-27,,"Very helpful with tracking my daily exercise, food, and water consumption. No problems with app crashing or excessive ads.",Nataya Harrison,4,3.5.4(4),approval
57,0.060793415,0.329427898,0.609778702,1,MyPlate Calorie Tracker,2023-01-27,,Good,prdanpr 82,5,3.5.4(4),admiration
58,0.001695337,0.008672481,0.98963213,1,MyPlate Calorie Tracker,2023-01-27,,I really like this app. Easy and very useful.,Deanna Potochar,5,3.5.4(4),approval
59,0.024759848,0.110213436,0.865026712,1,MyPlate Calorie Tracker,2023-01-26,,Awesome! Easy to use and set up. Wish food bass was a bit better to cover more brands.,lisa lind,5,3.5.4(4),admiration
60,0.918929636,0.074430026,0.00664038,0,MyPlate Calorie Tracker,2023-01-26,,"I made an account years ago, now I can't use it because it says my emale is already in use so I reset my password, I reset it then it says wrong username or password. This app is virtually useless",J,1,,realization
61,0.052615277,0.360993207,0.586391509,1,MyPlate Calorie Tracker,2023-01-26,,Sometimes glitchy. But is my go to app.,Toast Time,4,3.5.4(4),neutral
62,0.15442507,0.799600959,0.045973994,0,MyPlate Calorie Tracker,2023-01-25,,"Some items I buy I can scan, but not items from Aldi grocery store.",Renee Burke,4,3.5.4(4),neutral
63,0.00111944,0.015958903,0.9829216,1,MyPlate Calorie Tracker,2023-01-25,,Have used this since high school! Still pretty good! 🕊️,Alesha Jackson,5,3.5.4(4),admiration
64,0.003733899,0.053509876,0.942756236,1,MyPlate Calorie Tracker,2023-01-24,,so helpful and accessable,Nathan Lloyd-Jones,5,3.5.4(4),approval
65,0.001791924,0.005117727,0.993090332,1,MyPlate Calorie Tracker,2023-01-24,,I really love this app! I've been using it for 6 yrs now and to me it has gotten easier to navigate and the new features are fantastic!,NIsha Gipson,5,3.5.4(4),love
66,0.002398725,0.019093502,0.978507757,1,MyPlate Calorie Tracker,2023-01-24,,Great so far!!!,Patrick Williams,5,3.5.4(4),admiration
67,0.006147517,0.033275332,0.96057719,1,MyPlate Calorie Tracker,2023-01-24,,"It is a good app. As with most free apps, you have to pay for extra features. The database of food is really good. Just be careful to adjust serving size to what you actually eat.",Brian Tompkins,4,3.5.4(4),approval
68,0.002487524,0.011117556,0.986394882,1,MyPlate Calorie Tracker,2023-01-24,,Thanks for a very good app,Vernon Glenn Anda,5,3.5.4(4),admiration
69,0.309723824,0.608165264,0.082110919,0,MyPlate Calorie Tracker,2023-01-23,,It's new to me so still slow and adding foods.,Linda Seal,4,3.5.4(4),realization
70,0.012948096,0.239459127,0.747592747,1,MyPlate Calorie Tracker,2023-01-23,,"Would love to see MyPlate be able to connect to Samsung Health, as I do not use Google Fit. And also, if possible to be able to choose or switch in between if we are wanting to count calories or carbs.",Joany “Jo” Manuel,4,3.5.4(4),desire
71,0.530260503,0.40689972,0.062839784,0,MyPlate Calorie Tracker,2023-01-23,,"Why do I need a username if I'm signing in with Google, like my name is 'already exist' It's not a video game smh",ART DAY,1,,confusion
72,0.002145364,0.01878267,0.979071915,1,MyPlate Calorie Tracker,2023-01-21,,This app is very helpful,Beverly Ott,5,3.5.4(4),approval
73,0.140354142,0.765302479,0.094343409,0,MyPlate Calorie Tracker,2023-01-21,,It has a lot of choices to choice from,Reed Goble,5,3.5.4(4),approval
74,0.00318162,0.151469618,0.845348775,1,MyPlate Calorie Tracker,2023-01-21,,Great for quick tracking calories,Austere Graunt,5,3.5.4(4),admiration
75,0.004659274,0.061731398,0.933609366,1,MyPlate Calorie Tracker,2023-01-20,,Great app easy to calculate my calories,Abraham Aguiar,4,3.5.4(4),admiration
