,Id,roberta_neg,roberta_neu,roberta_pos,roberta_polarity,Source,Date,Title,Content,Name,Rating,Version,emotion,,,
0,1,0.009916262,0.29391852,0.696165264,1,Breakfast Cooking - Kids Game,2023-03-01,,😇😇😇😇,sheref Hossa,5,,amusement,,,
1,2,0.004820354,0.018160036,0.977019548,1,Breakfast Cooking - Kids Game,2023-02-13,,This game is so good you can download it and enjoy this game is played very smoothly I love it and I think you will also like it's good and I will read this game 4 out of 5 because we have to make all breakfast then we will start next level we can't do this that if we have done one thing like pancakes then we can't restart the pancakes we can't click on 🥞 they said you have to start another thing,qumber khan,4,1.1.2,love,,,
2,3,0.004432215,0.04361077,0.951956987,1,Breakfast Cooking - Kids Game,2023-01-11,,I like the game,Elizabeth Mojisola Oyelowo,5,1.1.2,love,,,
3,4,0.002675524,0.020933945,0.976390481,1,Breakfast Cooking - Kids Game,2022-12-24,,Cute game,Silky Banerjee,5,1.1.2,admiration,,Positive,291
4,5,0.221562341,0.600977957,0.177459687,0,Breakfast Cooking - Kids Game,2022-12-15,,Mama,ali Qassim mupacha mutamila,1,1.1.2,neutral,,Negative,65
5,6,0.001497014,0.019404389,0.979098558,1,Breakfast Cooking - Kids Game,2022-12-12,,Great!! 🙂🙂🙂🥳🥳🥳⭐⭐⭐✅✅✅,MAUREEN CRUZ,5,1.1.2,admiration,,,
6,7,0.002280602,0.00997554,0.987743795,1,Breakfast Cooking - Kids Game,2022-10-27,,everytime I use this when it's breakfast time i love this game,Ellesandra Simone Salazar,5,1.1.2,love,,,
7,8,0.00185338,0.008047537,0.990099132,1,Breakfast Cooking - Kids Game,2022-10-23,,This game is very good,Priyanka Shirsat,5,1.1.2,admiration,,,
8,9,0.001729413,0.00875133,0.989519238,1,Breakfast Cooking - Kids Game,2022-10-16,,I love it 💚💛🧡💜🖤💝💞💞,Olajumoke Olarinoye,5,1.1.2,love,,,
9,10,0.942339182,0.053360898,0.004299976,0,Breakfast Cooking - Kids Game,2022-10-14,,"Too much ads , kids having a hard time to play",erwin esteban,3,1.1.2,sadness,,,
10,11,0.24454686,0.548611104,0.206842095,0,Breakfast Cooking - Kids Game,2022-10-11,,Delet,Ananna khan,3,,neutral,,,
11,12,0.013651798,0.176960975,0.809387207,1,Breakfast Cooking - Kids Game,2022-10-08,,😃😃😃😅🤗🤗😇😇😇😇😇😇😇😍😍😍😍😍,Reynante Mora,4,1.1.2,curiosity,,,
12,13,0.003280251,0.038221221,0.958498597,1,Breakfast Cooking - Kids Game,2022-10-02,,cooking is fun to me.,julie may,5,1.1.2,amusement,,,
13,14,0.004934941,0.075752459,0.919312596,1,Breakfast Cooking - Kids Game,2022-09-29,,Good breakfast game,Lilli Griffith,5,1.1.2,admiration,,,
14,15,0.185800329,0.606163383,0.208036289,1,Breakfast Cooking - Kids Game,2022-09-09,,Raaar,Greg Lipe,4,1.1.2,fear,,,
15,16,0.062333968,0.728392124,0.209273949,1,Breakfast Cooking - Kids Game,2022-09-05,,you get to play you learn how you know how to make breakfast,Azaree Jackson,5,,neutral,,,
16,17,0.00385821,0.007918605,0.988223255,1,Breakfast Cooking - Kids Game,2022-08-19,,I love this game,Prunena Sarabia,5,1.1.2,love,,,
17,18,0.010839947,0.152767166,0.836392939,1,Breakfast Cooking - Kids Game,2022-08-15,,I lve it,REJOICE IJEOMA,5,,love,,,
18,19,0.096856795,0.829499722,0.073643528,0,Breakfast Cooking - Kids Game,2022-08-13,,THHNSAAEERWY2⃣,lynex 9172,5,,neutral,,,
19,20,0.010091349,0.045185212,0.944723368,1,Breakfast Cooking - Kids Game,2022-08-13,,For me it's Cool actually but I realised that game it's a Little bit Boring but I can't wait to play it I love Eggs actually 🍳🥞🥞🥓 bacon pancakes I have Never eat pancakes Before bheka mina akaze ngidla ipancake soze,Zinhle Ayanda Mtshali,4,1.1.2,love,,,
20,21,0.001402545,0.006239083,0.992358387,1,Breakfast Cooking - Kids Game,2022-08-06,,It was very very good 😃 I like it 💜,Abdullah Ahmed,5,1.1.2,love,,,
21,22,0.003381834,0.028803986,0.967814207,1,Breakfast Cooking - Kids Game,2022-08-06,,Fun amazing and 200 out of 10,Towanna Millsap,5,1.1.2,excitement,,,
22,23,0.004210731,0.099162176,0.896627069,1,Breakfast Cooking - Kids Game,2022-08-05,,Good luck,Sujatha Sujatha,1,1.1.2,caring,,,
23,24,0.215798572,0.666286707,0.117914766,0,Breakfast Cooking - Kids Game,2022-07-25,,Rennee,Spyder Man,5,,neutral,,,
24,25,0.002109275,0.017496724,0.980394006,1,Breakfast Cooking - Kids Game,2022-07-08,,It is a good game 5 stars,Kayla Bourne,5,1.1.2,joy,,,
25,26,0.017336637,0.473144531,0.509518862,1,Breakfast Cooking - Kids Game,2022-07-03,,You can make breakfast 🍳🍳🍳🥞🧇🥯🥚🥓🥑🍞🥤🥃🧊🥄🍴eat up,henry melvin,5,1.1.2,neutral,,,
26,27,0.001980386,0.007248975,0.990770578,1,Breakfast Cooking - Kids Game,2022-06-22,,I love this game😁😊,Taylor Barnett,5,1.1.2,love,,,
27,28,0.003825891,0.011278627,0.984895468,1,Breakfast Cooking - Kids Game,2022-06-17,,Lovely game nice,Waseem Ali,1,,admiration,,,
28,29,0.341068685,0.360624701,0.298306555,0,Breakfast Cooking - Kids Game,2022-06-15,,Good and fun but too many ads,Sam Latu,3,1.1.2,amusement,,,
29,30,0.018403631,0.713570535,0.268025845,1,Breakfast Cooking - Kids Game,2022-06-13,,Bts,Tin Catacutan,5,1.1.2,neutral,,,
30,31,0.002250696,0.006683559,0.991065681,1,Breakfast Cooking - Kids Game,2022-06-08,,This game is so amazing im rating it a 5 star,Amanda Pearson,5,,excitement,,,
31,32,0.495851547,0.406208903,0.097939529,0,Breakfast Cooking - Kids Game,2022-06-07,,Bad,Swetha shriee Veeramani,1,,disgust,,,
32,33,0.080614708,0.09369234,0.825692952,1,Breakfast Cooking - Kids Game,2022-06-03,,I Loveeeeeeeeeee This game is't very fun 😊,miela ila,5,,love,,,
33,34,0.009887421,0.4937011,0.496411502,1,Breakfast Cooking - Kids Game,2022-06-01,,𝙽𝚘𝚠 𝙸 𝚕𝚎𝚊𝚛𝚗 𝚑𝚘𝚠 𝚝𝚘 𝚌𝚘𝚘𝚔 𝚝𝚑𝚊𝚗𝚔 𝚢𝚘𝚞🥺❤,Athena Julliene Bargola,5,1.1.2,curiosity,,,
34,35,0.002016554,0.018205505,0.979777932,1,Breakfast Cooking - Kids Game,2022-05-29,,Great🤩🥳,SARENITY Marbley,5,1.1.2,admiration,,,
35,36,0.012513231,0.694085777,0.293401033,1,Breakfast Cooking - Kids Game,2022-05-29,,It is a cooking game you can make breakfast foods and drinkds,Hope Carver,5,1.1.2,neutral,,,
36,37,0.063580386,0.447148651,0.489270926,1,Breakfast Cooking - Kids Game,2022-05-02,,Delious,Claudia Olivares,5,,disgust,,,
37,38,0.058235608,0.566948831,0.374815553,1,Breakfast Cooking - Kids Game,2022-04-29,,Like it,Caydence Williamson,5,1.1.2,love,,,
38,39,0.012465428,0.068297856,0.91923672,1,Breakfast Cooking - Kids Game,2022-04-22,,I have nothing to say but it's very nice,Marissa Amion Cabas,5,1.1.2,admiration,,,
39,40,0.018339714,0.075237997,0.906422257,1,Breakfast Cooking - Kids Game,2022-04-14,,The game very good .there is not any problem but I have given 3 stars because of ads their are so many ads after one their is ad but game too good .,Bushara auto engineering Workshop,3,1.1.2,admiration,,,
40,41,0.001746084,0.008967412,0.989286482,1,Breakfast Cooking - Kids Game,2022-04-13,,The Escape is the best I like it because and I love this game because it is the best odds sometimes please please make some more I'll Steve's cooking in the game,Zackry Wilson,5,1.1.2,love,,,
41,42,0.004290779,0.07317432,0.922534883,1,Breakfast Cooking - Kids Game,2022-04-10,,It have lots of good kid cooking,KinsleyK,4,1.1.2,admiration,,,
42,43,0.011906676,0.108889453,0.879203856,1,Breakfast Cooking - Kids Game,2022-04-10,,Nice game,Adeleke Mariam,4,1.1.2,admiration,,,
43,44,0.045169588,0.846370757,0.108459651,1,Breakfast Cooking - Kids Game,2022-04-09,,Call may breakfast,Nikie Garrett,5,1.1.2,neutral,,,
44,45,0.29321152,0.374921471,0.331867009,1,Breakfast Cooking - Kids Game,2022-04-03,,It is a nice game but the is to much ads,Phenyo Magabe,1,1.1.2,approval,,,
45,46,0.696129739,0.293722451,0.010147801,0,Breakfast Cooking - Kids Game,2022-03-27,,Clearly u are force us to pay,Mulugo neshunzhi,5,1.1.2,anger,,,
46,47,0.244558007,0.299135119,0.456306875,1,Breakfast Cooking - Kids Game,2022-03-22,,"Really good I love the game,it has 5 second ads,it is realllll simple,and realistic, but i wish they could add more breakfast foods,because it gets sorta boring to cook the same food again and again.Like maybe chocolate milk with some other type of milk that you,the person who downloaded the game,chooses.But please,add more foods and drinks. But I recommend you download this game,but dont listen to me,listen to yourself and your parents.And i bet you do not want to read a 500 word rating.",Yiraida Berrios,5,1.1.2,love,,,
47,48,0.008278287,0.026217761,0.965503931,1,Breakfast Cooking - Kids Game,2022-03-18,,I love it,Ruvim_svar,4,1.1.2,love,,,
48,49,0.001651799,0.011313376,0.987034857,1,Breakfast Cooking - Kids Game,2022-03-18,,it is so fun espechioly if you are someone who loves breakfast and to cook.,Jim Haston,5,1.1.2,amusement,,,
49,50,0.978192806,0.015808692,0.00599852,0,Breakfast Cooking - Kids Game,2022-03-12,,I HATE THIS GAME 🎮 😒,Hannah Harvey,1,1.1.2,anger,,,
50,51,0.004539677,0.015074573,0.98038578,1,Breakfast Cooking - Kids Game,2022-03-01,,I love it😍,Keisha Marsh,5,1.1.2,love,,,
51,52,0.001895981,0.007050196,0.991053879,1,Breakfast Cooking - Kids Game,2022-03-01,,This game is so awesome and then the boys are making food,Adelia Hunt,4,1.1.2,excitement,,,
52,53,0.02431133,0.32793957,0.647749066,1,Breakfast Cooking - Kids Game,2022-02-28,,Wow,airah animation,5,,surprise,,,
53,54,0.00833755,0.083822198,0.907840252,1,Breakfast Cooking - Kids Game,2022-02-25,,Awesome,WomenCanToo,5,1.1.2,admiration,,,
54,55,0.010242748,0.105906844,0.883850396,1,Breakfast Cooking - Kids Game,2022-02-25,,Good for little girls,Rae Golson,5,1.1.2,approval,,,
55,56,0.002884296,0.006352048,0.990763724,1,Breakfast Cooking - Kids Game,2022-02-23,,Iloveyou this game so nice,Angeline Magalso,5,1.1.2,joy,,,
56,57,0.060793415,0.329427898,0.609778702,1,Breakfast Cooking - Kids Game,2022-02-22,,Good,ropafadzo chonzi,5,,admiration,,,
57,58,0.558689415,0.419172704,0.022137899,0,Breakfast Cooking - Kids Game,2022-02-21,,It's low key a time killer,MIZ KaPoni,5,1.1.2,neutral,,,
