,Id,roberta_neg,roberta_neu,roberta_pos,roberta_polarity,Date,Title,Content,Name,Rating,Version,emotion,,,,
0,1,0.017539863,0.179157779,0.803302288,1,2023-02-25,,Verry good,Kathlene Cabudol,5,,joy,,,,
1,2,0.002557414,0.021833805,0.975608766,1,2023-02-22,,Nice game bro 😊😊😊😊,Akshay Gak,5,,admiration,,,,
2,3,0.02912966,0.17633903,0.794531345,1,2023-02-18,,A very nice game it shows when we eat fast food our body will fat and do exercise to slim,Atit Tamang,5,,realization,,,,
3,4,0.003959769,0.032840826,0.963199437,1,2023-02-07,,I like the game ever,Gil Masing,1,,love,,,,
4,5,0.006043384,0.049715534,0.944241107,1,2023-01-28,,Nice I like it,Sarika Maradwar,5,,admiration,,,Positive,57
5,6,0.004931225,0.046692941,0.948375821,1,2023-01-25,,Nice game and intresting,Jahan Ara,4,,admiration,,,Negative,25
6,7,0.191124395,0.606835723,0.202039883,1,2023-01-22,,Oky by,Obydul Shaik,5,1.2.2,neutral,,,,
7,8,0.161943153,0.805763006,0.032293759,0,2023-01-09,,करन सहानी,Ram Sahani,5,,neutral,,,,
8,9,0.002897837,0.018880466,0.978221714,1,2023-01-08,,Game is funny and beautiful,Randeep Singh,5,1.2.2,amusement,,,,
9,10,0.003539365,0.011222748,0.985237896,1,2022-12-30,,its so much fun you guys did to try it sometime it has ads but its so much,cara gibson,5,,amusement,,,,
10,11,0.182505608,0.673457026,0.144037396,0,2022-12-26,,Perpact,risav karna,5,,neutral,,,,
11,12,0.059447102,0.422566473,0.517986417,1,2022-12-26,,Best,Akhilesh Kumar,5,,admiration,,,,
12,13,0.066038191,0.354452819,0.57950896,1,2022-12-22,,Nice,JAYMIN KANU BHAI TADVI DABHOI,5,1.2.2,admiration,,,,
13,14,0.060793415,0.329427898,0.609778702,1,2022-12-17,,Good,Gunjan Dafre,1,,admiration,,,,
14,15,0.00214161,0.012005282,0.985853076,1,2022-12-17,,It is very nice game,Anumandla Suma,5,,joy,,,,
15,16,0.003382472,0.03124826,0.965369284,1,2022-12-10,,It is a nice game for 20 minutes,nalina sathish,5,1.2.2,joy,,,,
16,18,0.598671556,0.384387225,0.016941205,0,2022-11-28,,Yeh wala game bahut bar double double aata hai run ek burger khane say jaldi Mota ban jaate Hain isliye jaldi game se out ho jaate Hain bad game,MAHAK KSHIRSAGAR,3,1.2.2,neutral,,,,
17,19,0.001631158,0.007697988,0.9906708,1,2022-11-03,,This game is so cool,Soumya Vijayan,5,,neutral,,,,
18,20,0.969028652,0.024208233,0.006763039,0,2022-10-30,,I DON'T LIKE THIS GAME,Anmol MLBB,1,,joy,,,,
19,21,0.953715503,0.042013459,0.004271067,0,2022-10-26,,Not nice,MALA NAIK,1,,disapproval,,,,
20,22,0.128523678,0.47165513,0.399821222,1,2022-10-17,,Fat fun not to be mean,Luke C,5,1.2.2,disapproval,,,,
21,23,0.002869283,0.01495399,0.982176661,1,2022-10-14,,Very very very very very very very very very very very very very very very good game,Muskankaur,5,,amusement,,,,
22,24,0.003854805,0.024037296,0.972107947,1,2022-10-14,,Very nice game,Mousom Gogoi,5,1.2.2,admiration,,,,
23,25,0.001870601,0.013393222,0.984736145,1,2022-10-13,,Yogesh 🥰🥰🥰❤️❤️❤️❤️,Reena sharma Reena sharma,5,,admiration,,,,
24,26,0.001756296,0.015972529,0.982271194,1,2022-10-09,,It is fine and awesome 😊👍,Victoria Wanjiku,4,,neutral,,,,
25,27,0.00184334,0.00774235,0.990414321,1,2022-10-08,,So beautiful ❤️❤️❤️👌❤️🧕🤝 ❤️❤️😍😍😍😍😍,Nematullah Shaikh,5,,admiration,,,,
26,28,0.002286515,0.00656585,0.991147637,1,2022-10-07,,I love this game very very very very very very easy and funny game,Sakshi Kumari,5,,admiration,,,,
27,29,0.016683962,0.700082541,0.283233523,1,2022-10-07,,Subscribe my channel 2MA GAMER there is lot of images game video,Chandrashekhar Koiri,1,1.2.2,love,,,,
28,30,0.004228721,0.012011489,0.983759761,1,2022-10-06,,Love this game,Manzoor Ah,5,,neutral,,,,
29,31,0.001081749,0.029476851,0.969441354,1,2022-09-04,,Dig it out of the way and I will be there at palimi AWC PALIMI I love you too baby girl and I will be back in the office on Monday and Tuesday and Wednesday and Thursday this week and I will,chitralekha dash,5,,love,,,,
30,32,0.002029127,0.018185675,0.979785144,1,2022-08-27,,Game is good😁,Amin Shaikh,3,,love,,,,
31,33,0.910256565,0.081744179,0.007999234,0,2022-08-15,,Varey varey varey bad game 😒😒😤😠,Soma Biswas,1,,joy,,,,
32,34,0.167914063,0.77856648,0.053519405,0,2022-08-13,,بد نی,Mahrnaz Sanati,3,1.2.2,disappointment,,,,
33,35,0.161997125,0.510046899,0.327955961,1,2022-07-27,,I'd love if you could add more girls and only make the belly fat like their pregnant but just fat in the belly and make a boyfriend when the lady's belly is measured 250 kilograms,Unicorn Cupcakes,5,1.2.2,neutral,,,,
34,36,0.00302548,0.029227834,0.967746675,1,2022-07-23,,Pretty good,Samuel Haddad,5,1.2.2,love,,,,
35,37,0.002262662,0.026238596,0.971498728,1,2022-07-23,,So nice yare,Grishama Trivedi,5,,admiration,,,,
36,38,0.02508756,0.257522345,0.71739006,1,2022-07-17,,It gets more boaring every minute,A Google user,2,,admiration,,,,
