,Id,roberta_neg,roberta_neu,roberta_pos,roberta_polarity,Source,Date,Title,Content,Name,Rating,Version,emotion,,,,
0,1,0.060793415,0.329427898,0.609778702,1,Eating Hero: Clicker Food Game,2023-02-25,,Good,sahib raza,4,,admiration,,,,
1,2,0.317166805,0.609016955,0.07381624,0,Eating Hero: Clicker Food Game,2023-02-18,,Nothing to do,Biraj Majumder,1,,neutral,,,,
2,3,0.002629786,0.015034255,0.982335985,1,Eating Hero: Clicker Food Game,2023-02-13,,this is a good game,Xamo Halkawt,5,,admiration,,,,
3,4,0.592054367,0.368450463,0.039495159,0,Eating Hero: Clicker Food Game,2023-02-11,,"I logged out to go to bed, the next day I logged on the game and next thing you now it I ate something and it reset and froze don't bother downloading",Anna Aston,1,1.4,neutral,,,,
4,5,0.90314573,0.081882037,0.014972168,0,Eating Hero: Clicker Food Game,2023-02-04,,It's boring,EzCaDor Burgos,1,1.4,disappointment,,,,
5,6,0.001447752,0.005151052,0.993401229,1,Eating Hero: Clicker Food Game,2023-02-03,,So good game! I love eating! So u added this game I like it! 10/10!☺️☺️😊😊😃😃😄😄😇😇 Also blue from rainbow friends 😍 like that soooo much!,Merina Ete,5,,love,,,,
6,7,0.374898553,0.353179544,0.271921903,0,Eating Hero: Clicker Food Game,2023-02-02,,It boring but it funnit really good game but it not really so fun but good game,Ambra Horne,4,1.4,amusement,,,Positive,25
7,8,0.890701294,0.090146303,0.019152403,0,Eating Hero: Clicker Food Game,2023-01-29,,Getting bigger is not very fun,Michai culley,4,0.4,realization,,,Negative,29
8,9,0.002696323,0.009256229,0.988047481,1,Eating Hero: Clicker Food Game,2023-01-27,,Bro this game is perfect 🥰,MJ Games,5,1.4,admiration,,,,
9,10,0.133663803,0.805671632,0.060664561,0,Eating Hero: Clicker Food Game,2023-01-26,,"Remove, Ring. Add, Crown",Екатерина Кошкина,1,0.4,neutral,,,,
10,11,0.056740846,0.837783992,0.105475135,1,Eating Hero: Clicker Food Game,2023-01-23,,Hi shell pinakiha,Tess Lopez,5,,neutral,,,,
11,12,0.615863979,0.350300908,0.033835083,0,Eating Hero: Clicker Food Game,2023-01-17,,No game for me,Link Backhus,5,,neutral,,,,
12,13,0.6293962,0.254676342,0.115927435,0,Eating Hero: Clicker Food Game,2023-01-15,,I dont prefere playing it anymore its to boring like eating games it lied to u and said it fun but no just go play roblox best game ever,Salman Mahmoud,1,,neutral,,,,
13,14,0.978934348,0.018300699,0.002764886,0,Eating Hero: Clicker Food Game,2023-01-13,,Is trash it is a fffff score you should not install it it literally so bad widest on the App Store why did the app store owner allow this,C V,1,1.3,disapproval,,,,
14,15,0.246247783,0.68626523,0.067486949,0,Eating Hero: Clicker Food Game,2023-01-11,,g h \] p,Родион Шкилько (Родюха),5,1.1,neutral,,,,
15,16,0.02431133,0.32793957,0.647749066,1,Eating Hero: Clicker Food Game,2023-01-09,,Wow,Jhem Santiago,1,,surprise,,,,
16,17,0.001391652,0.010598005,0.988010347,1,Eating Hero: Clicker Food Game,2023-01-08,,This game is so cool just eat I like this game (⁠人⁠*⁠´⁠∀⁠｀⁠)⁠｡⁠*ﾟ⁠+,Shahadat JRV,5,,joy,,,,
17,18,0.117929511,0.694149196,0.187921241,1,Eating Hero: Clicker Food Game,2023-01-02,,KENZODELCAMPO,Kenzo Holandes,5,,neutral,,,,
18,19,0.477062523,0.477611989,0.045325406,0,Eating Hero: Clicker Food Game,2023-01-02,,Burgers eat keyboards,elijah barnham,5,1.1,neutral,,,,
19,20,0.210045114,0.678150773,0.111804083,0,Eating Hero: Clicker Food Game,2022-12-30,,পট,Hasan Mia,5,0.4,neutral,,,,
20,21,0.035834588,0.197167054,0.766998351,1,Eating Hero: Clicker Food Game,2022-12-30,,Too funny🤣😂,Moni Apolinar,5,1.1,amusement,,,,
21,22,0.00227987,0.040641859,0.957078218,1,Eating Hero: Clicker Food Game,2022-12-30,,It's cool,Gianna Holiday,5,,joy,,,,
22,23,0.002949961,0.035478141,0.961571872,1,Eating Hero: Clicker Food Game,2022-12-30,,Everyone does this game contains ads tell me later or now thanks any one god loves us all :),Leanne-Marie Smith,5,1.1,gratitude,,,,
23,24,0.182896301,0.726144016,0.090959758,0,Eating Hero: Clicker Food Game,2022-12-29,,Basically an identical game to the one on Roblox. This is the same as the eating game they have on Roblox.,Kenzie -_-,1,,neutral,,,,
24,25,0.170793816,0.7734254,0.055780813,0,Eating Hero: Clicker Food Game,2022-12-28,,"Airport Omansik Airport Mananak Airport PPUNDKAKI Airport Satan Airport Tatar Airport Tui-Tui Airport Makanalaisdjfhfjddjdifejahsjsiasud8seiwjsj+¥#^$&$*#'dpwitk@*$£$&/*÷÷£%£'kxkzxk@+×÷=/_€£¥₩!@#$%^&*()'-&quot;::,?`~\|{}[]°•○●□■♤♡◇♧▪︎☆¤《》¿¡gw2ieejdwdjd2uededhdhdjdc2jddde2hc3jexididjeedjduedudhddjdejdejedeiediddejjdsik Airport dhindssideeudeehueeduexuheeuduesjexjbdkexnkdxod",ШЫНАР СОВЕТОВА,5,,neutral,,,,
25,26,0.033833228,0.267107487,0.699059308,1,Eating Hero: Clicker Food Game,2022-12-27,,Great,Mary Anne Coleman,5,1.1,admiration,,,,
26,27,0.982872427,0.014542559,0.002584968,0,Eating Hero: Clicker Food Game,2022-12-25,,This game is so bad it keeps giving me an ad it to annoying,ANA-ALICIA KELLAM,1,,annoyance,,,,
27,28,0.838385284,0.150089517,0.011525225,0,Eating Hero: Clicker Food Game,2022-12-25,,I couldn't load in,Brittney Zachrison,1,,neutral,,,,
28,29,0.020507531,0.277234703,0.702257752,1,Eating Hero: Clicker Food Game,2022-12-23,,🖤🖤🖤🖤🖤,Berevan Kamel,5,,neutral,,,,
29,30,0.002284973,0.021899767,0.975815296,1,Eating Hero: Clicker Food Game,2022-12-22,,"This game is Amazing owner mabey you can add update like chrismas,helloween, So hope you one day see my comment",zeenath waseem,5,,admiration,,,,
30,31,0.177928701,0.640244007,0.181827322,1,Eating Hero: Clicker Food Game,2022-12-22,,Pangit to,Ranior Gundran,1,0.4,neutral,,,,
31,32,0.543844163,0.348726124,0.107429713,0,Eating Hero: Clicker Food Game,2022-12-22,,I broke it by watching an ad to get a better food when I had the best food.,Orenda Talbott,1,0.4,sadness,,,,
32,33,0.012744237,0.24561666,0.741639078,1,Eating Hero: Clicker Food Game,2022-12-21,,When I play this game it makes me feel like I am eating food 😋,Shanta Burke,5,0.4,realization,,,,
33,34,0.738697529,0.248236075,0.013066409,0,Eating Hero: Clicker Food Game,2022-12-19,,Won't let me download,Ramona Albarran,1,,neutral,,,,
34,35,0.974819541,0.022259621,0.00292078,0,Eating Hero: Clicker Food Game,2022-12-16,,Bro It won't let me download worst app everrrr,Leilani Postell,1,,disapproval,,,,
35,36,0.004834623,0.008463049,0.986702383,1,Eating Hero: Clicker Food Game,2022-12-13,,I love this game so so so so so so so so so much,Benton Dickins,5,,love,,,,
36,37,0.002784266,0.254368573,0.742847204,1,Eating Hero: Clicker Food Game,2022-12-11,,"Yup, from rainbow friends!",David Cabaua,3,0.4,approval,,,,
37,38,0.177294642,0.526487529,0.296217859,1,Eating Hero: Clicker Food Game,2022-12-11,,Ok,Chan Mon,5,,approval,,,,
38,39,0.336905509,0.42208904,0.24100545,0,Eating Hero: Clicker Food Game,2022-12-10,,Not bad there to many adds :( ◆◆◆◆,K.V.M.KRISHNA KUMAR,4,,sadness,,,,
39,40,0.347581804,0.500293434,0.152124763,0,Eating Hero: Clicker Food Game,2022-12-09,,Fun but i can't turn of vibration,Caeden Kingston,3,0.4,amusement,,,,
40,41,0.978051543,0.018232767,0.003715691,0,Eating Hero: Clicker Food Game,2022-12-09,,THIS IS TOO BORING STOP GIVING ADS,⟭⟬ Joonie ⟬⟭,1,0.4,admiration,,,,
41,42,0.00191268,0.011498201,0.986589074,1,Eating Hero: Clicker Food Game,2022-12-06,,Becuz its good and the best game ever,Brennan Bailey,5,0.4,joy,,,,
42,43,0.22937122,0.695791066,0.074837729,0,Eating Hero: Clicker Food Game,2022-12-03,,"No volume control, but you start by eating candles lmao",BarterIrving,3,0.4,amusement,,,,
43,44,0.743317127,0.206563666,0.050119217,0,Eating Hero: Clicker Food Game,2022-12-03,,You just ripped off a Roblox game!!!!!,max luo,1,0.4,neutral,,,,
44,45,0.948459387,0.044433363,0.007107318,0,Eating Hero: Clicker Food Game,2022-12-02,,"Every time i tap the screen i get haptic feedback, aka my phone violently vibrates which is both annoying and fries my phone. And there's no way to turn it off. Its also boring and jam packed with ads but at this point thats a given.",Summer Flowers,1,0.4,annoyance,,,,
45,46,0.954939604,0.040821161,0.004239192,0,Eating Hero: Clicker Food Game,2022-12-02,,RIP-OFF BECAUSE THIS GAME IS A RIPOFF TO ANOTHER GAME DON'T SUPPORT OR DOWNLOAD THIS GAME OKAY JUST DON'T.,zac b,1,,neutral,,,,
46,47,0.001306975,0.032433607,0.96625942,1,Eating Hero: Clicker Food Game,2022-12-01,,I'm a big fan I also watch your videos,Debbie Oates,5,,admiration,,,,
47,48,0.854410648,0.120773412,0.024815919,0,Eating Hero: Clicker Food Game,2022-12-01,,Its boring,egevon guimbal,1,,annoyance,,,,
48,49,0.743201673,0.231451944,0.025346447,0,Eating Hero: Clicker Food Game,2022-11-30,,The ads you watch for bonuses just glitch and get removed so it's an ad watching simulator. Don't bother downloading,Ethan TeRiini,1,0.4,caring,,,,
49,50,0.979212761,0.018501054,0.002286232,0,Eating Hero: Clicker Food Game,2022-11-30,,The game is so 😞 bad don't install,Nehal Youssef,1,,disappointment,,,,
50,51,0.00380826,0.065076008,0.931115746,1,Eating Hero: Clicker Food Game,2022-11-29,,Its cool,Rommel Alenia,5,,joy,,,,
51,52,0.007590669,0.597523689,0.394885629,1,Eating Hero: Clicker Food Game,2022-11-29,,10 Peki💚🟢green,Lalpek Hlui,5,,neutral,,,,
52,53,0.031177383,0.132241264,0.836581349,1,Eating Hero: Clicker Food Game,2022-11-12,,Looks Boring But Surprisedy Fun and addicting,Kassandra Utley,5,0.3,surprise,,,,
53,54,0.04805626,0.143779293,0.808164477,1,Eating Hero: Clicker Food Game,2022-10-27,,This game is not ads offensive. Good job!,Y,4,0.3,admiration,,,,
