,Id,roberta_neg,roberta_neu,roberta_pos,roberta_polarity,Source,Date,Title,Content,Name,Rating,Version,emotion,,,
0,1,0.060793415,0.329427898,0.609778702,1,Fast Food Rampage,2023-02-21,,Good,Sergio Salazar,5,1.0.8,admiration,,,
1,2,0.003220564,0.036505744,0.960273683,1,Fast Food Rampage,2022-12-16,,this game is so lit! and please can you creat Ronald McDonald's rampage,Mercy Balangue,5,1.0.8,admiration,,,
2,3,0.934924245,0.061544191,0.003531569,0,Fast Food Rampage,2022-09-25,,Make vegans fat by shooting them with the fried potato machine gun,MechaCosi,5,,neutral,,,
3,4,0.191335529,0.229832619,0.578831851,1,Fast Food Rampage,2022-08-21,,It's a great game I loved it when it first came out but it's a shame it's no longer getting updates,tyler wilson,4,1.0.8,love,,Positive,471
4,5,0.003804169,0.02735219,0.968843699,1,Fast Food Rampage,2022-06-30,,Awesome game but please add more weapons like mayo pickles and more toppings and I like the tomato boss touch. Other than that I highly recommend it.,Prefect Brown,5,1.0.8,admiration,,Negative,168
5,6,0.009900875,0.081695341,0.908403754,1,Fast Food Rampage,2022-06-05,,It's fun,Ziyar Whitelocke,5,1.0.8,joy,,,
6,7,0.00372882,0.007371941,0.988899291,1,Fast Food Rampage,2022-04-28,,I FREAKING LOVE THIS GAME! shout out to the Creator,Steak Boy,5,,love,,,
7,8,0.06181664,0.453972489,0.484210849,1,Fast Food Rampage,2022-04-04,,Childhood game. Such nostalgia. Feeding people till they full.,Nut Screw Gamer,5,,neutral,,,
8,9,0.292930692,0.354150444,0.352918893,1,Fast Food Rampage,2022-01-24,,"Pretty fun and the concept is solid, controls can be a bit wonky at times and hitboxes can be bad. Overall a not so bad experience, wonky controls is what throws me off in the most part.",Achikaps Roll,4,1.0.8,amusement,,,
9,10,0.058863394,0.150783375,0.790353179,1,Fast Food Rampage,2022-01-09,,"Pretty good game,fun gameplay although it gets pretty bland the longer the game",Jarred Ver W. Jumalon,5,1.0.8,admiration,,,
10,11,0.002246614,0.021660088,0.976093292,1,Fast Food Rampage,2021-09-29,,"This game is fun to play because of the weapons with upgrades that destroy or explode stuffs, and costumes that can boost you with bonus stats to help you play it better. So, I liked the design of it because it looks like a retro style for me. Even though the game should include more playable characters and bosses, it's always a must-play since it's enjoyable.",Paul Kim,5,,joy,,,
11,12,0.034332406,0.167289406,0.798378229,1,Fast Food Rampage,2021-09-21,,the best game with nonexistent developers,CodeName Vanguard,1,,admiration,,,
12,13,0.443144798,0.337525398,0.219329759,0,Fast Food Rampage,2021-08-22,,"At first I rated it five stars because, it's actually a great game. But a few hours after that my progress,upgrades, outfits and more have lost. Please remove a bug like this in a great game 😭",Rodney James,4,1.0.8,admiration,,,
13,14,0.069620416,0.226080939,0.704298615,1,Fast Food Rampage,2021-08-12,,i love the game but i think there should be more bosses than the one i always fight in the game,captain justice,4,,love,,,
14,15,0.139442533,0.610330105,0.250227362,1,Fast Food Rampage,2021-07-01,,Okay,Angela Carmichael,5,1.0.8,approval,,,
15,16,0.002481147,0.037345309,0.960173547,1,Fast Food Rampage,2021-06-21,,i think its cool,Jamillah Abdullah,4,,joy,,,
16,17,0.038801525,0.140330821,0.820867598,1,Fast Food Rampage,2021-05-29,,Fun game but some thing can be better like when the vegan/enemys get very fat their hit box Is very small so you don't know where to fire but still very fun and pls add an option so that you can change joy stick position other than that great game.,lego man,5,1.0.8,joy,,,
17,18,0.002661234,0.007990169,0.98934865,1,Fast Food Rampage,2021-04-17,,"This game is so addictive and fun,for me having a low device,is so fun that i can play it in my spare time",Noobie 64,5,1.0.8,joy,,,
18,19,0.006946491,0.029118808,0.96393472,1,Fast Food Rampage,2021-04-14,,I loved everything abt it.,Mmm Lll,5,1.0.8,love,,,
19,20,0.010962408,0.110262468,0.87877512,1,Fast Food Rampage,2021-02-27,,I like it,tau triskelion104,5,1.0.8,love,,,
20,21,0.694907129,0.208153397,0.096939467,0,Fast Food Rampage,2021-02-02,,Amazing clown game ever👽💩👹🤡,Austina Rose,5,1.0.8,admiration,,,
21,22,0.003201464,0.00746935,0.989329159,1,Fast Food Rampage,2021-01-08,,I love this game 😍😍😍,Mykquel Reynolds,5,1.0.8,love,,,
22,23,0.005997669,0.164946273,0.829056025,1,Fast Food Rampage,2020-12-08,,Cool food rampage,Austin Bell,5,1.0.8,admiration,,,
23,24,0.970362902,0.02562866,0.004008467,0,Fast Food Rampage,2020-11-29,,The clown is bad ass,Steven Farts,5,1.0.8,anger,,,
24,25,0.001951014,0.010069679,0.987979293,1,Fast Food Rampage,2020-11-21,,👍👍it's good and very fun,Trevon Samuels,5,,amusement,,,
25,26,0.086921334,0.615130723,0.297947973,1,Fast Food Rampage,2020-11-11,,Rampage!!!,Arnold Indoraptor,5,1.0.8,neutral,,,
26,27,0.060793415,0.329427898,0.609778702,1,Fast Food Rampage,2020-11-01,,Good,Charlie Mault,5,1.0.8,admiration,,,
27,28,0.117149405,0.279374808,0.603475809,1,Fast Food Rampage,2020-09-25,,"Really great arcade style game, my only problem was that the only incentive to play is to just unlock more weapons, after you fully upgrade all the gear the gameplay becomes too monotonous, it would be good to have more bosses or a prestige system to give more reason to play",Matthew Hamilton,4,,admiration,,,
28,29,0.856643438,0.121453196,0.021903332,0,Fast Food Rampage,2020-09-04,,"Pretty fun, but the problem I have with this game is that it asks for permission of my location which is pretty creepy/suspicious, and it also asks for permission of my photos which is also sketchy. Please change this because this just feels weird for a game that asks for my location even though the game has nothing to do with it.",Lucia Landa,3,,joy,,,
29,30,0.109147981,0.227044612,0.663807392,1,Fast Food Rampage,2020-07-28,,Please update the game and fix it where it would reset you I lost all my money please fix it and please update thank you for the best game on the planet,Kenny Leon,5,1.0.8,gratitude,,,
30,31,0.002133304,0.016679874,0.981186867,1,Fast Food Rampage,2020-07-20,,"One of my favorite games, please make another one",Adjusted Kid,5,1.0.8,love,,,
31,32,0.053843208,0.160330579,0.785826206,1,Fast Food Rampage,2020-07-14,,"Absolutely fun and shows never make a fast food company mad, not even the mascot.",Jaydon Adkins,4,1.0.8,amusement,,,
32,33,0.004062336,0.069414593,0.92652303,1,Fast Food Rampage,2020-07-07,,Just like loaded on ps1 the best,Vickie Bell,5,1.0.8,admiration,,,
33,34,0.002526684,0.019296888,0.978176415,1,Fast Food Rampage,2020-06-30,,I love it plz make more foods plz and plz make a second one,Noah Helverson,5,1.0.8,love,,,
34,35,0.229876339,0.594213307,0.175910339,0,Fast Food Rampage,2020-06-28,,A game is a game.,jimmy demson,5,1.0.8,neutral,,,
35,36,0.006302585,0.043272123,0.950425327,1,Fast Food Rampage,2020-06-14,,Great game it just needs more Guns and more Boss and maybe play online with uber people like Team Deathmatch. Great game keep it up.,noo man,5,1.0.8,admiration,,,
36,37,0.003401198,0.031167079,0.96543169,1,Fast Food Rampage,2020-05-29,,Most funny game I've ever played😇,Niladri Ganguly,5,1.0.8,amusement,,,
37,38,0.25555864,0.458782375,0.285658985,1,Fast Food Rampage,2020-05-04,,WHY STOPPED UPDATES? WE NEED MORE COOL STUFFS,Paul Andrei M. Padernilla,4,1.0.8,anger,,,
38,39,0.040793389,0.190798149,0.768408477,1,Fast Food Rampage,2020-04-10,,Its good but have some bad controls But still good,A Google user,4,1.0.8,approval,,,
