,Id,roberta_neg,roberta_neu,roberta_pos,roberta_polarity,Source,Date,Title,Content,Name,Rating,Version,emotion,,,,
0,1,0.001577933,0.005731114,0.99269098,1,Food Gang,2023-03-02,,"It's a fun, energetic game, and I love playing it!",Frank Castellarin,5,1.1.2,joy,,,,
1,2,0.07422071,0.846189678,0.079589672,1,Food Gang,2023-03-01,,"i did got igor be cus this chest,i just got tony and jack",Don Ramon,5,,neutral,,,,
2,3,0.438807905,0.398831159,0.162360966,0,Food Gang,2023-03-01,,"It's a fun game and it would be better I'd you fought real ppl instead of bots. The bots always know where you are and follow the same movement pattern so it's pretty clear that they are not real people, plus the bots have bad A.I. onto of all the other things aswell, and the only reason they kick you for unstable or bad internet is because they can't give you ads if you don't have a connection, so just remove bots or add a bots only gamemode and then my rating will go up.",Stephen Anderson,2,1.1.2,joy,,,,
3,4,0.888623059,0.09868148,0.012695427,0,Food Gang,2023-02-28,,Very bad for be a good game,Moriah rose,1,1.1.2,disappointment,,,,
4,5,0.004598353,0.040701509,0.954700112,1,Food Gang,2023-02-27,,"Great game, I would like it more if weekly challenge game modes were added to online games.",Love Omholt,4,1.1.2,admiration,,,,
5,6,0.006077168,0.031395204,0.962527573,1,Food Gang,2023-02-27,,Best game no lag!!!!!,Fireboss,5,1.1.2,admiration,,,,
6,7,0.944039047,0.04919599,0.006764956,0,Food Gang,2023-02-26,,Dude when u do TOMS missions you will cry 😢 dude Tom is the worst character in the world 🌎 bro he has to shoot straight or I'm done bro yo another thing is that melee is only the best on Tom mission yo and they take my dam kills bro so yo this game needs help and make it diff foods every time on the 2nd to last mission.,Sandra Suero,1,1.1.2,disappointment,,,,
7,8,0.013841069,0.058421899,0.927737057,1,Food Gang,2023-02-26,,This is a fun creative game but the only thing that it needs is more things to do and new maps but it is a good game to play for when you are bored,Giovanny Sanchez,5,1.1.2,joy,,,,
8,9,0.054924522,0.830699444,0.114376076,1,Food Gang,2023-02-26,,Need to download,symon mwangi9,5,,neutral,,,,
9,10,0.003879444,0.013201114,0.982919455,1,Food Gang,2023-02-25,,I love food,Webster Tamayosa,5,,love,,,Positive,1982
10,11,0.831396461,0.151688412,0.016915165,0,Food Gang,2023-02-24,,Lies,Arabang Mavis Samuel,4,,amusement,,,Negative,1018
11,12,0.929556191,0.065162115,0.00528177,0,Food Gang,2023-02-24,,My son hates it because he says every one takes his kills when he is doing a quest,edwin duarte,1,1.1.2,anger,,,,
12,13,0.007286702,0.093260348,0.899452984,1,Food Gang,2023-02-23,,I like this game but this game in only 14 characters but onl 3mapes,Biju Prajitha,4,,love,,,,
13,14,0.013214747,0.105320416,0.881464839,1,Food Gang,2023-02-23,,Great game but needs more characters and multiplayer with your friends stuff like that,Shaimis Sawyer,4,1.1.2,admiration,,,,
14,15,0.002645827,0.006218923,0.99113524,1,Food Gang,2023-02-23,,Fun I love it so much 🤩🥰,Pahnvotey Visal,5,1.1.2,amusement,,,,
15,16,0.00194457,0.020667149,0.977388263,1,Food Gang,2023-02-23,,I can't wait for a update More New Foods An New Boreds Please Update And it could use a battle Royale mode 3v3 would be cool..,Tommy Sanders,3,1.0.6,excitement,,,,
16,17,0.002082569,0.020392183,0.977525294,1,Food Gang,2023-02-22,,Very good 😊,Shureez Allie,5,1.1.2,admiration,,,,
17,18,0.635129392,0.278996646,0.085873976,0,Food Gang,2023-02-22,,Great. But it starts lag after some time. I have enough storage in my phone. Please fix this bug.,Jannat Ruby,3,,admiration,,,,
18,19,0.004537941,0.035388898,0.960073113,1,Food Gang,2023-02-22,,So fun,Badminton Fun League,5,1.1.2,joy,,,,
19,20,0.012791006,0.137964189,0.849244833,1,Food Gang,2023-02-20,,"It's a very good game but I think you could make it where there's gems on the trophy road more often,and could you do an update so there's an apple that you can play as and to play as the king burger you don't need a VIP pass,please?",Toy Box Mix Up,4,1.1.2,approval,,,,
20,21,0.938498139,0.056930847,0.004570976,0,Food Gang,2023-02-19,,The only bad thing is that you can not save your progress and you lose everything it is not recommended to make purchases in the game.,Astaroth,2,,realization,,,,
21,22,0.001413899,0.013350006,0.985236049,1,Food Gang,2023-02-18,,good game it's good on a chrombook and it's just good in general,Brady Duque,4,1.1.2,admiration,,,,
22,23,0.874826849,0.112819299,0.012353847,0,Food Gang,2023-02-18,,PLEASE fix this I unlocked puffer fish but I can't equip it,Reece,2,1.1.2,sadness,,,,
23,24,0.134288743,0.333674371,0.532036901,1,Food Gang,2023-02-18,,Game is fighting but I won't like that their is only few character but whole game is good,Mohd Fareed,5,1.1.2,admiration,,,,
24,25,0.025419202,0.660919368,0.313661456,1,Food Gang,2023-02-16,,🏿🏿🏿🏿🏿🏿🏿🏿 🏿🏿🏽🏽🏽🏽🏿🏿 🏽🏽🏽🏽🏽🏽🏽🏽 🏽⬜⬛🏽🏽⬛⬜🏽 🏽🏽🏽🏿🏿🏽🏽🏽 🏽🏽🏿🏽🏽🏿🏽🏽 🏽🏽🏿🏿🏿🏿🏽🏽‍‍,Mohamed Haleem,4,1.1.2,curiosity,,,,
25,26,0.001554075,0.00849112,0.989954829,1,Food Gang,2023-02-16,,This game is the best game I ever played! Could you add more characters tho I'd really appreciate it. Also could you add more modes? And if your looking for a battleroyal game then this is the one!,Penny Coker,5,1.1.2,admiration,,,,
26,27,0.248104498,0.716556549,0.035338964,0,Food Gang,2023-02-16,,عالی ولی سخت,کامیار جمشیدی,5,,neutral,,,,
27,28,0.123532817,0.261685878,0.61478132,1,Food Gang,2023-02-15,,The game is fun there's just lag it's cool so I didn't feel like writing,Christine,3,1.1.2,joy,,,,
28,29,0.031604614,0.835144877,0.13325049,1,Food Gang,2023-02-15,,Food= 🍪,Jayden Bland,5,1.1.2,neutral,,,,
29,30,0.004648724,0.03691797,0.95843333,1,Food Gang,2023-02-15,,its a good game,Kristen Peterson,4,1.1.2,admiration,,,,
30,31,0.060793415,0.329427898,0.609778702,1,Food Gang,2023-02-13,,Good,Theresa Jackson,5,1.1.2,admiration,,,,
31,32,0.56772238,0.306864351,0.125413328,0,Food Gang,2023-02-13,,"This game is kind a nice but I haven't, like it much 🙄🙄",Regina Waim,3,,approval,,,,
32,33,0.963652134,0.033127762,0.003220147,0,Food Gang,2023-02-12,,Like why did you make this so hard like why you such an idiot don't put Tom first as the weekly missions that's just impossible just don't do that update the game so I can just be like that,D T,1,1.1.2,annoyance,,,,
33,34,0.003697248,0.013173128,0.98312968,1,Food Gang,2023-02-12,,Best game ever!!!!!!!!!,Cindy He,5,1.1.2,excitement,,,,
34,35,0.002979038,0.005568213,0.991452694,1,Food Gang,2023-02-12,,I love it wow it is so good,Mamta Shrestha-Chester,5,,admiration,,,,
35,36,0.002334221,0.007096152,0.990569592,1,Food Gang,2023-02-11,,It is the best game ever 10/10,Christian Ruiz,5,,admiration,,,,
36,37,0.002413229,0.027748659,0.969838142,1,Food Gang,2023-02-10,,"Very nice and mind blowing game. I was in a lead always I had collected all characters except King the Burger I would suggest you to add some new characters like-- Don the bread who is a street thief Weepy the onion who is a bandit Bruce the ramen who is a samurai Ronny the Chicken leg piece who is a boxer. Etc. To say the truth the game is amazing You may add arenas like bakery, fridge, picnic basket, etc. And some boss battles, And some fighting modes like 1v1,2v2 and 3v3. Please try it.",Ashutosh Mahapatra,4,,admiration,,,,
37,38,0.059447102,0.422566473,0.517986417,1,Food Gang,2023-02-10,,Best,Mousumi Singh,5,1.1.2,admiration,,,,
38,39,0.006527268,0.081161253,0.912311435,1,Food Gang,2023-02-09,,This is good game but i think their have some modes. I am giving 4stars but if you add some modes i will give it 5 stars,DIY-Crafts at Homes,4,1.1.2,admiration,,,,
39,40,0.495851547,0.406208903,0.097939529,0,Food Gang,2023-02-07,,Bad,pratima thapa,5,,disgust,,,,
40,41,0.007593513,0.046767388,0.945639133,1,Food Gang,2023-02-06,,Very good game but can you add like friends or something like deathmatch It will. Be more fun,Shehrije Lushtaku,5,,admiration,,,,
41,42,0.968413293,0.027878452,0.003708309,0,Food Gang,2023-02-05,,I HATEDit I was stuck on a leve for 10 days,Kelly Manton,1,1.0.6,anger,,,,
42,43,0.052658051,0.152041316,0.795300603,1,Food Gang,2023-02-04,,"Overall that is a great game. I like the graphics and all, but after a while it gets kind of repetitive... i would like to see an update that will give a battle pass, a new maps and heroes, etc.",omer perry,3,1.1.2,admiration,,,,
43,44,0.003400948,0.029320572,0.967278421,1,Food Gang,2023-02-04,,I liked this game it has good characters and good graphics but it should be rooms code to play with friends,Art gallery and fun,5,1.1.2,admiration,,,,
44,45,0.001797132,0.018594546,0.979608297,1,Food Gang,2023-02-04,,Omg So cool,Oliver browne,5,1.1.2,surprise,,,,
45,46,0.001830405,0.006124581,0.992045045,1,Food Gang,2023-02-04,,It's good my favourite game it's so fun I played 10 games with bro the broccoli!,Bachi Bichou,5,,joy,,,,
