,Id,roberta_neg,roberta_neu,roberta_pos,roberta_polarity,Source,Date,Title,Content,Name,Rating,Version,emotion,,
0,1,0.002412808,0.058184627,0.939402521,1,Glitter Food - Kids Cafe,2022-11-25,,Fun for kids and family 8,Zoey Landis,4,1.1.0,neutral,,
1,2,0.007183036,0.111996464,0.880820453,1,Glitter Food - Kids Cafe,2022-06-27,,Happy,Gabriella Frey,5,1.07,joy,,
2,3,0.039192688,0.258853883,0.701953471,1,Glitter Food - Kids Cafe,2022-06-19,,Amazing but make it so that I can eat it,Catherine Hemsley,3,,admiration,,
3,4,0.928221226,0.066598237,0.005180542,0,Glitter Food - Kids Cafe,2022-02-20,,Coffee maker game doesn't work.,RM online,2,1.07,disapproval,Positive,49
4,5,0.479749113,0.289526373,0.230724514,0,Glitter Food - Kids Cafe,2021-10-12,,I'm crying 😭😭😭😭😭😭😭😭😭,Sherita Williams,1,1.07,sadness,Negative,9
5,6,0.106144391,0.599691153,0.294164479,1,Glitter Food - Kids Cafe,2021-10-04,,I never try this game before now I trying to play for the first time ever 😸,wajihah Farhana,1,,joy,,
6,7,0.002113877,0.008126591,0.989759564,1,Glitter Food - Kids Cafe,2021-03-21,,This is so good,Iya Cosio,3,1.0.6,joy,,
7,8,0.320298612,0.476361573,0.203339845,0,Glitter Food - Kids Cafe,2020-09-22,,😾🙍🏼🙎🏼🙅🏼💩🙅🏼👎🏻 BORING,An apology fro Snowbell for eating your fryed mice,1,1.0.6,admiration,,
8,9,0.002024168,0.008975193,0.989000559,1,Glitter Food - Kids Cafe,2020-05-30,,I love this game like crazy it teaches me how to cook I played it Sinse I was 3💖💖💖💖💖💟💝💞💕💗,ONGOLENYANG ERIC,1,1.0.5,love,,
9,10,0.002058142,0.011661006,0.986280918,1,Glitter Food - Kids Cafe,2020-05-26,,wow very nice game 😉😉😉,Liza chy,5,1.0.5,admiration,,
10,11,0.002392814,0.01682381,0.980783403,1,Glitter Food - Kids Cafe,2020-04-15,,"Fun, girly,and colorful but need more things to do or at least cook but other than that it is fun 😁 🤑😉",A Google user,5,1.0.5,amusement,,
11,12,0.00170159,0.008886757,0.989411652,1,Glitter Food - Kids Cafe,2020-04-11,,I love it 😍💕💙💙💙😍😍💕💙💙❤️😍😍💕❤️❤️😍💕❤️💙❤️😍💕,A Google user,5,1.0.5,love,,
12,13,0.364475012,0.479963332,0.155561656,0,Glitter Food - Kids Cafe,2020-04-09,,BORING CACA HEAD BUTT FART!!!!!!!!!!!!!!!!!!!!!!! 👩🏼💨🖖🏿💩👎🏿👩🏽💨✋🏿💩👎🏿👩🏿💨🖐🏿💩👎🏿👩🏾💨👋🏿💩👎🏿👩💨✌🏿💩👎🏿,A Google user,1,,neutral,,
13,14,0.002669555,0.03166258,0.965667844,1,Glitter Food - Kids Cafe,2020-03-09,,This game is cool it teaches people how to cook,A Google user,5,1.0.4,admiration,,
14,15,0.002020276,0.012494277,0.985485494,1,Glitter Food - Kids Cafe,2020-03-07,,OMG! This game is so creative and Glittery! I'd even bet that parents love it! And is it possible to make real Glitter food???,A Google user,5,1.0.4,admiration,,
15,16,0.938517153,0.049432516,0.01205039,0,Glitter Food - Kids Cafe,2020-01-04,,its so boring,A Google user,2,,disappointment,,
16,17,0.060793415,0.329427898,0.609778702,1,Glitter Food - Kids Cafe,2019-11-22,,Good,A Google user,5,1.0.4,admiration,,
17,18,0.001822329,0.005305173,0.992872477,1,Glitter Food - Kids Cafe,2019-09-30,,thank you for this game great game 😌 loved the concept i liked playing it! ur the best,A Google user,5,1.0.3,admiration,,
18,19,0.007595273,0.234056488,0.758348227,1,Glitter Food - Kids Cafe,2019-09-14,,Cool,A Google user,4,1.0.3,admiration,,
19,20,0.006082694,0.045706172,0.948211193,1,Glitter Food - Kids Cafe,2019-08-07,,very good,A Google user,1,1.0.3,admiration,,
20,21,0.002489646,0.014992808,0.98251754,1,Glitter Food - Kids Cafe,2019-08-02,,this is a nice game,A Google user,3,1.0.3,admiration,,
